Platform,Model Name,price,color,Model Code,Frame,Fork,Headset,Rear Derailleur,Front Derailleur,Shifters,Chain,Crank,Rear Cogs,Bottom Bracket,Brakes,Brake Levers,Front Hub,Rear Hub,Rims,Spokes,Tire Size,Wheel Size,Tires,Front Tire,Rear Tire,Handlebar,Stem,Grips,Saddle,Seatpost,Wheel Sensor,Extra 1,image_url,Hubs,Ingestion Hazard,Rear Shock,Drive Unit,Battery,Charger,Display,Certifications,Brake Type
SuperSix EVO,SuperSix EVO 3,"$4,500",Chalk,C11502U,"SuperSix EVO Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","SuperSix EVO Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",Shimano 105 Di2 R7150,Shimano 105 Di2 R7170,"Shimano 105 Di2 R7170, wireless, 2x12","Shimano 105, 12-speed","Shimano 105 R7100, 50/34","Shimano 105 R7100, 11-34, 12-speed","Shimano BB-RS500, BSA","Shimano 105 R7170 hydraulic disc, 160/160mm RT70 rotors",Shimano 105 Di2 R7170 hydraulic disc,,,"DT Swiss R470 db, 28h","Stainless Steel, 14g",25,700,"Vittoria Rubino Pro Bright Black, 700x25c, reflective strip",,,Vision Trimax Aero,"Cannondale C1 Conceal, Alloy, 31.8, -6°","Cannondale Bar Tape, 3.5mm","Prologo Nago RS STN, Stainless Steel Rails","Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",Cannondale Wheel Sensor,Shimano EC300 charging connector,https://embed.widencdn.net/img/dorelrl/dxw4xe22ex/800px@1x/C23_C11502U_SuperSix_EVO_Crb_3_CHK_D7.jpg?color=F5F5F5&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Synapse Carbon,Synapse Carbon 2 LE,"$4,500",Smoke Black,C12252U,"Synapse Carbon, SmartSense enabled, Proportional Response size-specific design, BSA threaded BB, flat mount brake, 12x142mm thru axle, thru-tube internal cable routing with Switch Plate, removable fender bridge, hidden rack/fender mounts","Synapse Carbon, integrated crown race, Proportional Response size-specific design, 12x100mm thru-axle, thru-tube internal routing, hidden fender mounts","Synapse Sealed Bearing, integrated, 1-1/4""-1-1/8""",Shimano 105 Di2 7150,"Shimano 105 Di2 7150, braze-on","Shimano 105 Di2 7170, hydraulic disc, 12-speed","Shimano 105 7100, 12-speed","Shimano 105 7100, BSA, 50/34","Shimano 105 7100, 12-speed, 11-34","Shimano SM-BBR60, BSA","Shimano 105 7170 hydraulic disc, 160/160mm RT70 rotors",Shimano 105 Di2 7170 hydraulic disc,,,"DT Swiss R470 db, 28h","Stainless Steel, 14g",30,700c,"Vittoria Rubino Pro Reflective, 700 x 30c",,,"Cannondale 2, 6061 Alloy, Compact","Cannondale 2, 6061 Alloy, 31.8, 7°","Fabric Knurl Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","Cannondale 3 SmartSense, 6061 Alloy, 27.2x350mm (48-56), 400mm (58-61)",Cannondale Wheel Sensor,"SmartSense with Lights, Trainer-compatible thru-axle",https://embed.widencdn.net/img/dorelrl/xgmtv4qqfl/800px@1x/C22_C12252U_Synapse_Crb_2_LE_SBK_D7-2.jpg?color=F1F1F1&q=90,"(F) Formula CL-712, 12x100mm centerlock / (R) Formula RXC-400, 12x142mm centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Topstone Carbon,Topstone Carbon 2 Lefty,"$4,500",Caffeine,C15203U,"Topstone Carbon, Kingpin suspension system, SmartSense compatible, Proportional Response construction, 12x142mm thru-axle, 27.2 dropper post ready, BSA 68mm threaded BB, DirectLine internal cable routing, removable fender bridge, multiple gear/bottle mounts","Lefty Oliver, 30mm travel, lockout, Chamber Damper w/ All-Over tune, ISO High-Ride air spring, tapered steerer, 700c, 55mm offset","Integrated, Carbon, 1-1/8"" - 1-1/2""","Shimano GRX 822, Shadow RD+",,"Shimano GRX 820, 12-speed, w/ dropper actuator","Shimano HG M7100, 12-speed","Shimano GRX 610, 40T","Shimano SLX M7100, 10-45, 12-speed",Shimano BSA 68,"Shimano GRX 820 hydraulic disc, 160/160mm MT800/RT86 rotors",Shimano GRX 820 hydraulic disc,,,"DT Swiss G 540, 700c, 28h, 24mm inner width, tubeless ready","Stainless Steel, 14g",44,700,"Vittoria Mezcal, 700x44c, tubeless ready",,,"Cannondale 2 ShortDrop, 7050 alloy, 12 deg flare drop","Cannondale 2, 6061 Alloy, 31.8, 7°","Fizik Solocush Soft, 3mm","Fizik Terra Argo X5, S-alloy rails","Cannondale DownLow Dropper Post, 27.2, 60/80/100mm travel, shifter-integrated lever",Cannondale Wheel Sensor,StrapRack tool/stuff holder,https://embed.widencdn.net/img/dorelrl/sukcsx7f18/800px@1x/C24_C15203U_Topstone_Crb_2_Lefty_CAF_D7.jpg?color=F8F5F4&q=90,"(F) Lefty SL, 6-Bolt / (R) Shimano MT410 Centerlock Disc, 12x142mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Topstone Carbon,Topstone Carbon 2 L,"$4,500",Chili Powder,C15253U,"Topstone Carbon, Kingpin suspension system, SmartSense equipped, Proportional Response construction, 12x142mm thru-axle, 27.2 dropper post ready, BSA 68mm threaded BB, DirectLine internal cable routing, removable fender bridge, multiple gear/bottle mounts","Topstone Carbon, 1-1/8"" to 1.5"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x100 thru-axle, triple bottle/gear mounts, fender mounts","Integrated, Carbon, 1-1/8"" - 1-1/2""","Shimano GRX 820, Shadow RD+","Shimano GRX 820, braze-on","Shimano GRX 820, 12-speed","Shimano HG M7100, 12-speed","Shimano GRX 820, 48/31","Shimano HG 710, 11-36, 12-speed",Shimano BSA 68,"Shimano GRX 800 hydraulic disc, 160/160mm MT800 centerlock rotors",Shimano GRX 800 hydraulic disc,,,"DT Swiss G540, 700c, 28h, 24mm inner width, tubeless ready","Stainless Steel, 14g",45,700,"Vittoria Terreno Dry 40, 700x38c, tanwall, tubeless ready",,,"Cannondale 2 ShortDrop, 7050 alloy, 12 deg flare drop","Cannondale 2, 6061 Alloy, 31.8, 7°","Fizik Solocush Soft, 3mm","Fizik Terra Argo X5, S-alloy rails","SAVE Carbon SmartSense, 27.2, 350mm (XS-L), 400mm (XL)",Cannondale Wheel Sensor,SmartSense with Lights,https://embed.widencdn.net/img/dorelrl/jzulfs4qz2/800px@1x/C24_C15253U_Topstone_Crb_2_L_CPW_D7.jpg?color=FBF4F3&q=90,"(F) Formula cartridge bearing, 12x100mm centerlock / (R) Formula cartridge bearing, 12x142mm centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Topstone Carbon,Topstone LAB71 Frameset,"$4,500",Black,C15493U,"LAB71 Topstone, Superlight Series 0 Carbon Construction, Kingpin suspension system, SmartSense compatible, Proportional Response construction, 12x142mm thru-axle, 27.2 dropper post ready, BSA 68mm threaded BB, DirectLine internal cable routing, removable fender bridge, multiple gear/bottle mounts","LAB71 Topstone, Superlight Series 0 Carbon Construction, 1-1/8"" to 1.5"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x100 thru-axle, triple bottle/gear mounts, fender mounts","Integrated, 1-1/8"" - 1-1/2""",,,,,,,,,,,,,,,700,,,,,,,,"SAVE Carbon SmartSense, 27.2, 350mm (XS-L), 400mm (XL)",,,https://embed.widencdn.net/img/dorelrl/f3ivgtvd1m/800px@1x/C23_C15493U_LAB71_Topstone_AM_Frm_BLK_D5.jpg?color=f3f3f3&q=90,,,,,,,,,
SuperSix EVO,SuperSix EVO Hi-MOD Frameset,"$4,500",Smoke Black,C11182U,"SuperSix EVO Hi-MOD Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","SuperSix EVO Hi-MOD Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",,,,,,,,,,,,,,,700c,,,,,,,,"Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",,Cannondale Gripper Aero Bottles & ReGrip Aero Cages,https://embed.widencdn.net/img/dorelrl/ux3pj9qbex/800px@1x/C23_C11182U_SuperSix_EVO_HM_AM_Frm_SBK_3Q.jpg?color=F1F1F1&q=90,,,,,,,,,
Topstone Neo,Topstone Neo Carbon Lefty 3,"$4,439.98 - $6,350",Highlighter,C62371M,"Topstone Neo Carbon Frame, removable downtube battery, Kingpin suspension system, 12x148 thru-axle, dropper post compatible","Lefty Oliver, 30mm travel, Chamber Damper w/ All-Over tune, ISO High-Ride air spring, tapered steerer, 650b, 55mm offset","Integrated, 1.5"" lower to 1-1/8"" upper, 25mm Alloy top cap","Shimano GRX 812, Shadow RD+",,"Shimano GRX 600, 11-speed","KMC e-11 EPT, 11-speed","FSA Bosch E-Bike, FSA Megatooth, 44T","Shimano SLX, 11-42, 11-speed",,"Shimano GRX hydraulic disc, 180/160mm RT56 rotors",Shimano GRX hydraulic disc,Lefty 50,"Formula cartridge bearing, 12x148mm thru-axle","WTB ST i23 TCS, 28h, tubeless ready","Stainless Steel, 14g",42,650b,"WTB Resolute, 650bx42c, tubeless ready",,,"Cannondale 3, butted 6061 alloy, 16 deg flare drop","Cannondale 2, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Fizik Aliante Delta, S-alloy rails","Promax SP-2032, Alloy, 27.2",,Removable fender bridge,https://embed.widencdn.net/img/dorelrl/uj5vsbvstc/800px@1x/C22_C62371M_Topstone_Neo_Crb_3_Lefty_Spd_HLT_D5.jpg?color=fafafa&q=90,,,,Bosch Performance Line Speed 250W (28mph),"Bosch PowerTube, 500Wh",Bosch 4A,Bosch Purion,UL 2849,Disc
Adventure Neo,Adventure Neo 1 EQ,"$4,400",Emerald,C68101U,"SmartForm C3 Alloy step-thru frame, removable downtube battery, fully internal cable routing, post mount disc, dual waterbottle headtube mount","SR Suntour Mobie A32, 63mm travel, coil with preload adjuster, lockout, crown light mount, 44mm offset","Semi Integrated, 1-1/8""",Shimano Deore M4100,,"Shimano Deore M4100, 10-speed","Shimano Deore, 10-speed","FSA Bosch E-Bike, 38T","Shimano M4100, 11-42, 10-speed",,"Shimano MT400 hydraulic disc, 180/160mm RT30 rotors",Shimano MT400 hydraulic disc,,,"Cannondale 2, double wall","Stainless Steel, 14g",56,650b,"Kenda Kwick Seven.5, 27.5x2.20""",,,"Cannondale E-Series Alloy, ergo backsweep, 680mm","Cannondale 3 with Intellimount, Alloy, 31.8mm clamp",Cannondale Comfort,"Cannondale Adventure Neo, 170mm, steel rails","Cane Creek Thudbuster G4 suspension post, 31.6, 375mm (S), 430mm (L)",Cannondale Wheel Sensor,"Premium front and rear lights, premium fenders, rear carrier, Garmin radar",https://embed.widencdn.net/img/dorelrl/3kfxvjrwip/800px@1x/C21_C68101U_Adventure_Neo_1_EQ_EMR_D5.jpg?color=e0f1ee&q=90,"(F) Shimano MT400, 15x100mm thru-axle / (R) Shimano TX505, QR",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,Bosch Performance Line Cruise (20mph),"Bosch PowerTube, 625Wh",Bosch 2A,Bosch Purion,,Disc
Jekyll,Jekyll 1,"$4,375$6,250",Graphite,C21102U,"165mm travel, Carbon, Proportional Response Tuned, Guidler idler pulley/chainguide, BSA 73, ISCG05, tapered head tube, Ai Offset","Fox Float Factory 38, 170mm, 15x110mm thru-axle, tapered steerer, 44mm offset","Integrated Sealed Bearing, Tapered",SRAM GX Lunar Eagle,,"SRAM GX Eagle, 12-speed","SRAM NX Eagle, 12-speed","SRAM X1 Eagle B148 CL55, 30T","SRAM XG-1275, GX Eagle, 10-52, 12-speed",SRAM DUB BSA MTB73,"SRAM Code RSC hydraulic disc, 220/200mm CenterLine rotors",SRAM Code RSC hydraulic disc,,,"WTB KOM Trail i30 TCS, 32h, tubeless ready",DT Swiss Factory J -Bend,2.5,29,"(F) Maxxis Assegai, 29x2.5"", 3C compound, EXO+ puncture protection, tubeless ready, (R) Maxxis Minion DHR II, 29x2.4"", EXO+, tubeless ready","Maxxis Assegai, 29x2.5"", 3C compound, EXO+ puncture protection, tubeless ready","Maxxis Minion DHR II, 29x2.4"", EXO+, tubeless ready","Cannondale 1 Riser, Carbon, 30mm rise, 8° sweep, 5° rise, 780mm","FSA Grid 35, 35mm",Cannondale TrailShroom,"Fabric Scoop Shallow Elite, hollow cro-mo rails","Cannondale DownLow Dropper w/ Matchmaker lever, 31.6, 125mm (S), 150mm (M-XL)",,,https://embed.widencdn.net/img/dorelrl/tew9lgsbfy/800px@1x/C21_C21102U_Jekyll_1_GRA_D7.jpg?color=eff2f4&q=90,"(F) Formula, 15x110mm thru-axle / (R) SRAM MTH 700, 12x148mm, XD Driver",,"Fox Float Factory X2, 205x65 Metric Trunnion, Air, Adjustable High Speed/Low Speed Compression, High Speed/Low Speed Rebound",,,,,,
Habit,Habit Carbon 2,"$4,350",Mango,C23201U,"Habit Full Carbon, 130mm travel, Proportional Response Suspension and Geo, 55mm chainline, ISCG05, BSA threaded BB, post mount brake, tapered headtube, DirectLine internal cable routing, UDH hanger","RockShox Pike Select, 140mm, DebonAir, 15x110mm thru-axle, tapered steered, 42mm offset","Integrated Sealed Bearing, Tapered",Shimano XT,,"Shimano SLX, 12-speed","Shimano SLX, 12-speed","Shimano, FC-6120, 30T, 55mm chainline","Shimano SLX, 10-51, 12-speed",Shimano BSA 73,"Shimano Deore 6120 4-piston hydraulic disc, 180/180mm RT64 rotors",Shimano Deore hydraulic disc,,,"Stan's NoTubes Crest Arch MK4, 28h, tubeless ready",DT Swiss Champion,2.4,29,"(F) Maxxis Dissector, 29x2.4"" (27.5x2.4"" - XS) 3C, EXO, tubeless ready, (R) Maxis Rekon, 29x2.4"" (27.5x2.4"" - XS) 3C, EXO, tubeless ready","Maxxis Dissector, 29x2.4"" (27.5x2.4"" - XS), 3C, EXO, tubeless ready","Maxis Rekon, 29x2.4"" (27.5x2.4"" - XS), 3C, EXO, tubeless ready","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 0°",Cannondale TrailShroom,"Cannondale Scoop Shallow Sport, steel rails","Cannondale DownLow Dropper, internal routing, 31.6, 125mm (XS-S), 150mm (M), 170mm (L-XL)",,StrapRack tool/stuff holder,https://embed.widencdn.net/img/dorelrl/5isqjgnhlo/800px@1x/C23_C23201U_Habit_Crb_2_MGO_D7.jpg?color=FEFAF0&q=90,"(F) Shimano MT400, 15x110mm thru-axle / (R) Shimano MT510, 12x148mm thru-axle",,"RockShox Deluxe Select+, DebonAir, 2-Pos mode adjust, adjustable rebound",,,,,,
Cargowagen Neo,Cargowagen Neo,"$4,300",Sage,C67153U,"SmartForm C2 Alloy step-thru frame, integrated rear cargo rack (80kg), integrated headtube rack mounts, dual battery ready, internal cable routing, disc brake, tapered headtube, center console storage","SR Suntour Mobie 34 Cargo, BOOST DS, tapered, 80mm travel","Acros Blocklock w/ steering stop, semi-integrated","Shimano Deore 5130, 10-speed",,"Shimano Deore, 10-speed",KMC EGlide,"Samox, 52T","Shimano CUES CS-LG300, 11-41, 10-speed",,"Tektro HD-T5040, 4-piston hydraulic disc, 203/180mm rotors","Tektro HD-T5040, hydraulic disc",,,"Heavy Duty, Alloy, double wall, 36 hole, 35mm internal width, disc-specific","DT Swiss Champion, 13g",2.35,20,"Schwalbe Pick-Up, (F) 20x2.6"" (65-406), (R) 20x2.15"" (55-406)",,,"Cannondale Cruise Control Hi-Rise, 6061 Alloy, 31.8mm, 15° back, 740mm","Alloy,  Adjustable angle, 31.8",Cannondale Ergo Lock-on,Cannondale Comfort,"TranzX Suspension dropper post, 31.6, 70mm drop",,"Cannondale heavy-duty center stand, fenders, high visibility LED headlight, Lezyne Super Bright rear light, running boards, Abus ring lock, Schwalbe Air Plus high retention inner tubes",https://embed.widencdn.net/img/dorelrl/1ekufzo2ga/800px@1x/C23_C67153U_Cargowagen_Neo_SGE_D5.jpg?color=FAFBF9&q=90,"(F) Formula, cartridge sealed bearings, 15x110mm, centerlock / (R) Formula, cartridge sealed bearings, 12x148mm, centerlock",,,"Bosch Performance Speed, 28 mph","Bosch PowerPack, 545Wh",Bosch 4A,Bosch Kiox 300 w/ LED Remote,UL 2849,
Habit,Habit Carbon LT 1,"$4,163$5,550",Chalk,C23152U,"Habit Full Carbon, 140mm travel, Proportional Response Suspension and Geo, 55mm chainline, ISCG05, BSA threaded BB, post mount brake, tapered headtube, DirectLine internal cable routing, UDH hanger","RockShox Lyrik Select+, 150mm, DebonAir, 15x110mm thru-axle, tapered steerer, 42mm offset","Integrated Sealed Bearing, Tapered",SRAM GX Eagle Lunar,,"SRAM GX Eagle, 12-speed","SRAM GX Eagle, 12-speed","SRAM GX Eagle, DUB, 55mm CL, 30T","SRAM Eagle XG-1275, 10-52, 12-speed",SRAM DUB BSA MTB73 Wide,"SRAM Code R hydraulic disc, 4-piston, HS2 rotors, 200/200mm",SRAM Code R hydraulic disc,,,"WTB KOM Trail i30 TCS, 32h, tubeless ready",DT Swiss Champion,2.5,29,"(F) Maxxis Minion DHF, 29x2.5"" (27.5x2.5"" - XS), 3C, EXO+, tubeless ready, (R) Maxxis Dissector, 29x2.5"" (27.5x2.5"" - XS), 3C, EXO+, tubeless ready","Maxxis Minion DHF, 29x2.5"" (27.5x2.5"" - XS), 3C, EXO+, tubeless ready","Maxxis Dissector, 29x2.5"" (27.5x2.5"" - XS), 3C, EXO+, tubeless ready","HollowGram SAVE riser bar, Carbon, 35mm clamp, 30mm rise, 8° sweep, 5° rise, 780mm","Cannondale 1, 7075 Alloy, 1-1/8"", 35mm, 0°",Cannondale TrailShroom,"Cannondale Scoop Shallow Elite, cro-mo rails","Cannondale DownLow Dropper, internal routing, 31.6, 125mm (XS-S), 150mm (M), 170mm (L-XL)",,StrapRack tool/stuff holder,https://embed.widencdn.net/img/dorelrl/twtmehtiud/800px@1x/C23_C23152U_Habit_Crb_LT_1_CHK_D7.jpg?color=F5F5F5&q=90,"(F) Formula 15x110mm thru-axle / (R) DT Swiss, Star Ratchet, 12x148mm thru-axle",,"RockShox Super Deluxe Select+, DebonAir, 2-pos mode adjust, adjustable rebound",,,,,,
Habit,Habit Carbon 1,"$4,163$5,550",Jade,C23101U,"Habit Full Carbon, 130mm travel, Proportional Response Suspension and Geo, 55mm chainline, ISCG05, BSA threaded BB, post mount brake, tapered headtube, DirectLine internal cable routing, UDH hanger","RockShox Pike Select+, 140mm, DebonAir, 15x110mm thru-axle, tapered steered, 42mm offset","Integrated Sealed Bearing, Tapered",SRAM GX Eagle Lunar,,"SRAM GX Eagle, 12-speed","SRAM GX Eagle, 12-speed","SRAM GX Eagle, DUB, 55mm CL, 30T","SRAM Eagle XG-1275, 10-52, 12-speed",SRAM DUB BSA MTB73 Wide,"SRAM G2 R hydraulic disc, 180/180mm HS2 centerlock rotors",SRAM G2 R hydraulic disc,,,"Stan's NoTubes Arch MK4, 28h, tubeless ready",DT Swiss Champion,2.4,29,"(F) Maxxis Dissector, 29x2.4"" (27.5x2.4"" - XS) 3C, EXO, tubeless ready, (R) Maxis Rekon, 29x2.4"" (27.5x2.4"" - XS) 3C, EXO, tubeless ready","Maxxis Dissector, 29x2.4"" (27.5x2.4"" - XS), 3C, EXO, tubeless ready","Maxis Rekon, 29x2.4"" (27.5x2.4"" - XS), 3C, EXO, tubeless ready","HollowGram SAVE riser bar, Carbon, 35mm clamp, 30mm rise, 8° sweep, 5° rise, 780mm","Cannondale 1, 7075 Alloy, 1-1/8"", 35mm, 0°",Cannondale TrailShroom,"Cannondale Scoop Shallow Elite, cro-mo rails","Cannondale DownLow Dropper, internal routing, 31.6, 125mm (XS-S), 150mm (M-XL)",,StrapRack tool/stuff holder,https://embed.widencdn.net/img/dorelrl/bi80q7x6q5/800px@1x/C23_C23101U_Habit_Crb_1_JDE_D7.jpg?color=EBF0EA&q=90,"(F) Formula 15x110mm thru-axle / (R) DT Swiss, 12x148mm thru-axle",,"RockShox Deluxe Select+, DebonAir, 2-Pos mode adjust, adjustable rebound",,,,,,
Scalpel SE,Scalpel Carbon SE 2,"$4,050",Black Magic,C24852U,"120mm travel, Carbon, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, Ai Offset, Stash compatible","RockShox SID Select, 120mm, Debonair, 15x110mm thru-axle, tapered steerer, 44mm offset","Integrated Sealed Bearing, Tapered",Shimano XT,,"Shimano Deore M6100, 12-speed","Shimano Deore 6100, 12-speed","Cannondale 1, BB30a, OPI SpideRing, 32T, Ai Offset","Shimano Deore M6100, 10-51, 12-speed",Cannondale PF30 MTB,"Shimano MT501 hydraulic disc, 180/160mm RT64 rotors",Shimano MT501 hydraulic disc,,,"Stan's NoTubes Crest D, 32h, tubeless ready","DT Swiss Factory, 14g",2.4,29,"(F) Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready / (R) Maxxis Rekon Race, 29x2.35"", EXO Protection, tubeless ready","Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready","Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready / (R) Maxxis Rekon Race, 29x2.35"", EXO Protection, tubeless ready","Cannondale 3 Riser, 6061 Alloy, 30mm rise, 8° sweep, 6° rise, 780mm","Cannondale 3, 6061 Alloy, 31.8, 7°",Cannondale TrailShroom,"Cannondale Scoop Shallow Sport, steel rails","Cannondale DownLow Dropper, internal routing, 31.6, 100mm (S), 125mm (M-L), 150mm (XL)",,,https://embed.widencdn.net/img/dorelrl/b56yzxz1bz/800px@1x/C21_C24852U_Scalpel_Crb_SE_2_BKM_D8.jpg?color=E4E8EC&q=90,"(F) Shimano MT400, 15x110mm thru-axle / (R) Shimano MT410, 12x148mm thru-axle",,"RockShox SIDLuxe Select+, 2-Pos mode adjust, adjustable rebound, 190x45",,,,,,
Moterra Neo,Moterra 4,"$4,000.02$5,900",Impact Orange,C65411U,"150mm travel, SmartForm C2 Alloy, Cannondale Tuned Suspension, removable downtube battery, internal cable routing, 148x12mm thru-axle, post mount brake, tapered headtube","RockShox 35 Silver R, 150mm, Solo Air, 15x110mm stealth thru-axle, tapered steerer, 51mm offset","Integrated Sealed Bearing, Tapered",SRAM SX Eagle,,"SRAM NX Eagle, 12-speed","SRAM SX Eagle, 12-speed","FSA E-Bike, 165mm, SRAM Eagle, 34T Steel","SRAM PG-1210, SX Eagle, 11-50, 12-speed",,"TRP Slate G4 4 Piston hydraulic disc, 200/200mm rotors",TRP hydraulic disc,,,"WTB STX i25 TCS, 32h, tubeless ready","Stainless steel, 14g",2.6,29,"Maxxis Rekon, 29x2.6"", 60TPI Exo","Maxxis Rekon, 29x2.6"", 60TPI Exo","Maxxis Rekon, 29x2.6"", 60TPI Exo","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 3, 3D Forged 6061 Alloy, 1-1/8"", 31.8, 7°",Fabric Funguy,Cannondale Ergo XC,"TranzX dropper, internal routing, 31.6, 100mm (S), 120mm (M), 130mm (L-XL)",,,https://embed.widencdn.net/img/dorelrl/53o3yowpvu/800px@1x/C21_C65411U_Moterra_Neo_4_IOR_D4.jpg?color=fff0df&q=90,"(F) Shimano MT400, 15x110mm thru-axle / (R) Shimano MT400, 12x148mm thru-axle",,"RockShox Deluxe Select R, DebonAir",Shimano EP8,"Shimano BT-E8036, 630Wh",Shimano Battery Charger 2A,"Shimano SC-EM800, Bluetooth enabled",,
